fold,model,mae,rmse,r2,bias,n,skill_vs_naive,baseline_mae,rung,n_features,honest_label
fold_1_2020-07-22,history+sensors+weather / hist_gb,1.558227057489492,2.8248178951102623,-0.30122185864934936,-0.2243841930614922,689,-0.3317344646613307,1.1700733883805883,history+sensors+weather,51,deployable
fold_2_2021-01-22,history+sensors+weather / hist_gb,2.097112633515804,3.6661919615566667,0.4465823561744635,0.1876362145665308,419,0.1404816452274925,2.4398695174704628,history+sensors+weather,51,deployable
fold_3_2021-07-22,history+sensors+weather / hist_gb,1.2836812665989608,2.5124328553040693,0.05444336108126413,-0.04581565767884074,556,-0.026346875648826318,1.2507284788950668,history+sensors+weather,51,deployable
fold_4_2022-01-22,history+sensors+weather / hist_gb,2.5674750529451345,4.8058661254131225,0.15426873403705776,-0.756213060470326,433,0.13840777641635782,2.9799190181477857,history+sensors+weather,51,deployable
fold_1_2020-07-22,history+sensors+weather_core+lookahead / rf,1.3039927601913248,2.6930193778372207,-0.1826313719040471,-0.1426627678379502,689,-0.11445382241885227,1.1700733883805883,history+sensors+weather_core+lookahead,45,UPPER BOUND - uses the forecast period's actual weather
fold_2_2021-01-22,history+sensors+weather_core+lookahead / rf,1.947631102793568,3.454298065172489,0.5087051428408216,0.03885922442324979,419,0.20174784395323875,2.4398695174704628,history+sensors+weather_core+lookahead,45,UPPER BOUND - uses the forecast period's actual weather
fold_3_2021-07-22,history+sensors+weather_core+lookahead / rf,1.1390096307658335,2.3711778982111764,0.15777738915653217,-0.04204307967020543,556,0.08932302255396729,1.2507284788950668,history+sensors+weather_core+lookahead,45,UPPER BOUND - uses the forecast period's actual weather
fold_4_2022-01-22,history+sensors+weather_core+lookahead / rf,2.416049000222771,4.503962941573999,0.25718841925051794,-0.4809320003755469,433,0.18922326898517428,2.9799190181477857,history+sensors+weather_core+lookahead,45,UPPER BOUND - uses the forecast period's actual weather
fold_1_2020-07-22,history+sensors+weather_core+lookahead / hist_gb,1.5365110426804154,2.7938079297638128,-0.27280985704607263,-0.24305167818095857,689,-0.31317493239204963,1.1700733883805883,history+sensors+weather_core+lookahead,45,UPPER BOUND - uses the forecast period's actual weather
fold_2_2021-01-22,history+sensors+weather_core+lookahead / hist_gb,2.1271557288977645,3.7195800239851002,0.4303469688158885,0.010804657357147595,419,0.12816824274148264,2.4398695174704628,history+sensors+weather_core+lookahead,45,UPPER BOUND - uses the forecast period's actual weather
fold_3_2021-07-22,history+sensors+weather_core+lookahead / hist_gb,1.230333883624551,2.46166591721162,0.0922696726660649,-0.03855935799738993,556,0.016306173253952783,1.2507284788950668,history+sensors+weather_core+lookahead,45,UPPER BOUND - uses the forecast period's actual weather
fold_4_2022-01-22,history+sensors+weather_core+lookahead / hist_gb,2.5636422016527596,4.747575527818942,0.17466015133069102,-0.7580404512908031,433,0.13969400307857005,2.9799190181477857,history+sensors+weather_core+lookahead,45,UPPER BOUND - uses the forecast period's actual weather
fold_1_2020-07-22,history+sensors+weather+lookahead / rf,1.8311676187008696,3.4109741833909393,-0.8972619780148767,-0.5424861015952372,689,-0.5650023638562132,1.1700733883805883,history+sensors+weather+lookahead,67,UPPER BOUND - uses the forecast period's actual weather
fold_2_2021-01-22,history+sensors+weather+lookahead / rf,1.9793853718674106,3.5167512711938507,0.49077946886523405,-0.007240578264575969,419,0.18873310326875992,2.4398695174704628,history+sensors+weather+lookahead,67,UPPER BOUND - uses the forecast period's actual weather
fold_3_2021-07-22,history+sensors+weather+lookahead / rf,1.1321726187890773,2.37728696805313,0.15343201737926582,-0.07972452292550089,556,0.09478944639585207,1.2507284788950668,history+sensors+weather+lookahead,67,UPPER BOUND - uses the forecast period's actual weather
fold_4_2022-01-22,history+sensors+weather+lookahead / rf,2.3731335080585128,4.47583406442668,0.2664377000519813,-0.5251740428332656,433,0.20362483221655792,2.9799190181477857,history+sensors+weather+lookahead,67,UPPER BOUND - uses the forecast period's actual weather
fold_1_2020-07-22,history+sensors+weather+lookahead / hist_gb,1.5705569845406042,2.8352327331006535,-0.3108345118212106,-0.26648867440309687,689,-0.3422722028695102,1.1700733883805883,history+sensors+weather+lookahead,67,UPPER BOUND - uses the forecast period's actual weather
fold_2_2021-01-22,history+sensors+weather+lookahead / hist_gb,2.0641646830911777,3.643502066691454,0.45341131165343673,0.13369822952697624,419,0.1539856257431329,2.4398695174704628,history+sensors+weather+lookahead,67,UPPER BOUND - uses the forecast period's actual weather
fold_3_2021-07-22,history+sensors+weather+lookahead / hist_gb,1.2558735168835333,2.4934172307281215,0.0687022949222299,-0.12352993263358089,556,-0.004113633034894759,1.2507284788950668,history+sensors+weather+lookahead,67,UPPER BOUND - uses the forecast period's actual weather
fold_4_2022-01-22,history+sensors+weather+lookahead / hist_gb,2.563992303945575,4.8359224699796055,0.1436570865442769,-0.7883208600089077,433,0.13957651589496423,2.9799190181477857,history+sensors+weather+lookahead,67,UPPER BOUND - uses the forecast period's actual weather
fold_1_2020-07-22,weather-only / rf,2.2082139279227,4.072917126691812,-1.705089168334271,-0.8944428417653504,689,-0.8872439539702079,1.1700733883805883,weather-only,19,deployable
fold_2_2021-01-22,weather-only / rf,3.244255810765513,5.252710482572043,-0.13602928674904669,0.3432112623304523,419,-0.3296841439820104,2.4398695174704628,weather-only,19,deployable
fold_3_2021-07-22,weather-only / rf,1.3943511077500348,2.6338341507562073,-0.03914336533244023,0.016975763132165086,556,-0.11483118141025206,1.2507284788950668,weather-only,19,deployable
fold_4_2022-01-22,weather-only / rf,3.3678459436836183,5.252241508927218,-0.010132685850313017,-0.9626719526059947,433,-0.13018035831623198,2.9799190181477857,weather-only,19,deployable
fold_1_2020-07-22,weather-only / hist_gb,2.010169431892403,3.13200675056491,-0.5996162873012127,-0.00907896760103025,689,-0.7179857706827513,1.1700733883805883,weather-only,19,deployable
fold_2_2021-01-22,weather-only / hist_gb,3.3714508385132316,5.498360025175785,-0.24476952224299264,0.5531153677151858,419,-0.3818160415433145,2.4398695174704628,weather-only,19,deployable
fold_3_2021-07-22,weather-only / hist_gb,1.613872182021802,2.8227659810807877,-0.19357130639703124,0.10128663675242906,556,-0.2903457538981986,1.2507284788950668,weather-only,19,deployable
fold_4_2022-01-22,weather-only / hist_gb,3.262613938044612,5.431892961279739,-0.08041711581368594,-1.22170020072903,433,-0.09486664509176479,2.9799190181477857,weather-only,19,deployable
