regime,mae,rmse,r2,bias,n,baseline_mae,skill_vs_naive,skill_vs_fold_naive,fold,model
pooled,2.0133405694480087,3.5297726239546363,0.48700154124835027,0.21449048549508165,419,2.4398695174704628,0.17481629446506564,0.17481629446506564,fold_2_2021-01-22,pooled
Spring,1.7885632016373523,2.71950047564793,0.2641149690991469,0.012058128018755365,260,1.7514952911640367,-0.021163579862484516,0.26694309313243647,fold_2_2021-01-22,gated:flow_vs_rest
Summer,2.9275853043858917,5.046351385330999,0.5154263128668509,0.8380152740362943,134,4.099528707717755,0.2858727153503201,-0.19989420885960696,fold_2_2021-01-22,gated:flow_vs_rest
Winter,0.8270137057380584,1.3152648686084534,-0.2108953829651632,0.12562885728421283,25,0.6857704568385259,-0.20596286627843208,0.6610418303862964,fold_2_2021-01-22,gated:flow_vs_rest
pooled,2.095461111830245,3.582816430660523,0.4714674804632766,0.2829830105915159,419,2.4398695174704628,0.14115853457494876,0.14115853457494876,fold_2_2021-01-22,gated:flow_vs_rest
Spring,1.9498146185543326,2.8577074410953944,0.18741795491941793,-0.7200242361369894,260,1.7514952911640367,-0.11322858153874549,0.20085291258697924,fold_2_2021-01-22,gated:colony_cycle
Summer,3.092993926867686,5.413470653732628,0.4423567806672034,1.249078741286433,134,4.099528707717755,0.2455245108919888,-0.26768825329411494,fold_2_2021-01-22,gated:colony_cycle
Winter,0.9031136910537189,1.3795431168398646,-0.3321426731908328,-0.05699164689327838,25,0.6857704568385259,-0.31693292128268147,0.629851643873963,fold_2_2021-01-22,gated:colony_cycle
pooled,2.252961406445679,3.8148764822073256,0.4007837791601926,-0.05072682872450394,419,2.4398695174704628,0.07660578145119867,0.07660578145119867,fold_2_2021-01-22,gated:colony_cycle
Spring,1.9498146185543326,2.857707441095395,0.18741795491941782,-0.7200242361369894,260,1.7514952911640367,-0.11322858153874549,0.20085291258697924,fold_2_2021-01-22,gated:season
Summer,3.092993926867686,5.413470653732628,0.4423567806672034,1.2490787412864328,134,4.099528707717755,0.2455245108919888,-0.26768825329411494,fold_2_2021-01-22,gated:season
Winter,1.073394521280667,1.586633087442249,-0.7621107339488618,-0.26526395947900405,25,0.6857704568385259,-0.5652387917512938,0.5600606861986989,fold_2_2021-01-22,gated:season
