hive_id,measurement_date,end_of_day_weight_kg,removed_kg,weight_before_kg,weight_after_7d_kg,month
26,2022-02-16,25.9317807118255,6.300167623421299,32.2319483352468,25.196491954023,2
26,2022-03-28,46.7570126146789,4.956039050074303,51.7130516647532,39.0040574052813,3
26,2022-03-29,39.0926039035591,7.664408711119798,46.7570126146789,39.1431735632184,3
26,2022-05-26,58.9372556616801,19.575769464756704,78.5130251264368,53.3033931034483,5
26,2022-07-08,62.5280672842348,3.394910594205605,65.9229778784404,49.3228375576037,7
26,2022-08-21,38.1669464922711,4.1342896828440985,42.3012361751152,35.0372260668973,8
27,2020-02-04,60.2082130902778,6.858180690972198,67.06639378125,55.5123547743056,2
27,2020-02-05,51.7767526145833,8.4314604756945,60.2082130902778,55.0656040277778,2
27,2020-04-04,47.6267364548611,4.438192954861094,52.0649294097222,48.8829724479167,4
27,2020-06-02,62.284653,4.757238211805507,67.0418912118055,61.62158684375,6
27,2021-08-05,47.6040725694444,3.3003184027778047,50.9043909722222,46.2852944444444,8
43,2019-07-28,38.5991936527778,7.677282834722199,46.2764764875,24.7266488645833,7
43,2019-07-29,34.1399370208333,4.459256631944498,38.5991936527778,24.2703453100775,7
43,2019-07-31,27.6974862315996,5.716845176851098,33.4143314084507,23.8871140478056,7
43,2019-08-01,23.0913301631944,4.606156068405202,27.6974862315996,23.6847116944444,8
43,2020-07-13,15.0218491493056,10.06448674375,25.0863358930556,15.1536896944444,7
47,2020-05-24,5.75073402777778,3.9561792484534806,9.70691327623126,5.61370451388889,5
48,2020-03-18,28.96087328125,3.2979728333333007,32.2588461145833,28.5495085798611,3
49,2020-07-18,53.6071440104167,4.0896867991733,57.69683080959,47.8122786284722,7
49,2020-07-25,47.8122786284722,6.6173677487942015,54.4296463772664,36.5685354652778,7
49,2020-07-26,37.2461910659722,10.566087562500002,47.8122786284722,36.1654489131944,7
49,2021-08-05,45.434658072373,7.4579310258164,52.8925890981894,36.7581757885431,8
49,2021-08-06,37.435036554242,7.999621518131001,45.434658072373,36.4276117341242,8
49,2022-05-28,57.1320716388889,24.558904600694405,81.6909762395833,54.5907433194444,5
49,2022-08-13,37.0387458611111,5.6265874756945,42.6653333368056,37.0380389089646,8
56,2020-08-29,24.4799058125,3.0254856979167,27.5053915104167,22.8417863576389,8
58,2021-11-09,35.8209904827586,4.6597426376794004,40.480733120438,34.1189238620448,11
58,2022-09-08,37.3059604557641,3.5286730727168987,40.834633528481,37.57143,9
60,2020-06-09,49.8707118055556,10.845537499999999,60.7162493055556,41.3013861111111,6
60,2020-06-10,41.1993243055556,8.671387500000002,49.8707118055556,41.4917009084556,6
60,2020-07-25,42.4953552083333,10.077018055555598,52.5723732638889,32.1100263888889,7
60,2020-07-26,36.0357215277778,6.459633680555498,42.4953552083333,32.2077013888889,7
62,2019-10-22,41.793035187747,3.5877880173812002,45.3808232051282,38.9969112361111,10
62,2020-02-29,45.2470246805556,11.3919105451388,56.6389352256944,35.8704275503822,2
62,2020-03-01,35.91678421875,9.330240461805595,45.2470246805556,36.0432167916667,3
62,2020-04-19,32.8386510752688,18.019794344216997,50.8584454194858,34.6748940236275,4
62,2020-04-28,34.5463115942029,65.3229398515802,99.8692514457831,37.2091781729428,4
62,2020-07-11,39.6680576496674,4.496047392349396,44.1641050420168,38.9536852678571,7
62,2021-05-29,56.124617167382,12.138583734873606,68.2632009022556,45.2224611111111,5
62,2021-05-30,49.429171875,6.695445292381997,56.124617167382,45.1217708333333,5
62,2021-09-28,61.44325664594,9.588818874893306,71.0320755208333,63.8995007013889,9
62,2021-10-24,56.4620319513889,6.074551034722198,62.5365829861111,49.3291222222222,10
62,2021-10-25,49.2498013888889,7.212230562500004,56.4620319513889,49.4474184027778,10
62,2022-02-19,47.5287335143522,7.0345569833854,54.5632904977376,42.7188955431755,2
